Apartment Name,Short Description,Rooms and Bathrooms,Price per Night,Host Name,Account Active Since,Guest favourite stars,Guest favourite reviews
"The apartment is very perfect, clean, comfortable, close to the sea","Room in Barcelona, Spain",2 single beds ·  · Shared bathroom,€ 53 ,Stay with Ольга,3 years hosting,Not guest favourite,Not guest favourite
Double room meters from Sagrada Familia,"Room in Barcelona, Spain",1 bed ·  · Shared bathroom,€ 72 ,Stay with Valentina, · 9 months hosting,Not guest favourite,Not guest favourite
Quiet cozy room,"Room in Barberà del Vallès, Spain",1 bedroom ·  · Shared bathroom,€ 32 ,Hosted by Carolina,2 years hosting,Not guest favourite,Not guest favourite
Catalonia Barcelona Sabadell Suite,"Room in Sabadell, Spain",1 bed ·  · Private attached bathroom,€ 35 ,Hosted by Juan Manuel,1 year hosting,Not guest favourite,Not guest favourite
Generator - 1 Bed in 8 Bed Dorm,"Room in Barcelona, Spain",1 bunk bed ·  · Shared bathroom,€ 66 ,Hosted by Generator,5 years hosting,Not guest favourite,Not guest favourite
DIVINE,"Room in Barcelona, Spain",1 queen bed ·  · Shared bathroom,€ 71 ,Stay with Carmen,10 years hosting,Not guest favourite,Not guest favourite
Chillax Barcelona City Centre,"Entire rental unit in Barcelona, Spain",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 2 baths,€ 180 ,Hosted by Frank, · 12 years hosting,Not guest favourite,Not guest favourite
Apartments with sun terraces,"Entire rental unit in Castelldefels, Spain",4 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 118 ,Hosted by Josep Maria, · 9 years hosting,Not guest favourite,Not guest favourite
GuestReady - Living a dream in Barcelona,"Entire rental unit in Barcelona, Spain",4 guests ·  · 2 bedrooms ·  · 3 beds ·  · 2 baths,€ 234 ,Hosted by Gonçalo, · 6 years hosting,Not guest favourite,Not guest favourite
shares accommodation in a modern and quiet apartment,"Room in Sabadell, Spain",1 double bed ·  · Shared bathroom,€ 29 ,Stay with Ivan, · 4 years hosting,4.90,21
Apartment near Sagrada Familia,"Entire rental unit in Barcelona, Spain",2 guests ·  · Studio ·  · 1 bath,€ 162 ,Hosted by Juanan, · 11 years hosting,4.95,187
Sunny and quiet Loft next to Sagrada Familia,"Entire loft in Barcelona, Spain",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 196 ,Hosted by Jeremies,12 years hosting,Not guest favourite,Not guest favourite
Casa Rústica en el Centro,"Room in Sabadell, Spain",1 single bed ·  · Shared bathroom,€ 44 ,Stay with Marcel,1 month hosting,Not guest favourite,Not guest favourite
Beautiful and bright room,"Room in Cerdanyola del Vallès, Spain",1 double bed ·  · Dedicated bathroom,€ 59 ,Stay with Anna,2 years hosting,4.91,11
Nice sunny room near airport,"Room in El Prat de Llobregat, Spain",1 single bed ·  · Shared bathroom,€ 71 ,Stay with Antonia,3 years hosting,Not guest favourite,Not guest favourite
Room for 2 w/ Private Bathroom,"Room in Vilassar de Mar, Spain",2 beds ·  · Private attached bathroom,€ 62 ,Stay with Denis,2 years hosting,Not guest favourite,Not guest favourite
Large room illuminated and quiet.,"Room in Terrassa, Spain",1 double bed ·  · Shared bathroom,€ 45 ,Stay with Isabel,9 years hosting,Not guest favourite,Not guest favourite
Charming Room in the Heart of the City,"Room in Barcelona, Spain",1 bed ·  · Shared bathroom,€ 139 ,Stay with Jade, · 2 months hosting,Not guest favourite,Not guest favourite
Barcelona C. de Fontcoberta | Double Room,"Entire rental unit in Barcelona, Spain",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 199 ,Hosted by Limehome,2 years hosting,Not guest favourite,Not guest favourite
"Very large, with 2 bathrooms and a private terrace","Room in Granollers, Spain",5 beds ·  · Shared bathroom,€ 49 ,Stay with Rosa, · 1 year hosting,5.0,8
Hopedaje for couples.,"Room in la Barriada Nova, Spain",1 double bed ·  · Shared bathroom,€ 46 ,Stay with Yolanda Cristina,5 years hosting,Not guest favourite,Not guest favourite
"lovely! 2 terraces, sun,  Lagos, pine, beach","Entire condo in Castelldefels, Spain",3 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 120 ,Hosted by Isa  Y Juan,10 years hosting,Not guest favourite,Not guest favourite
Oasis in Barcelona,"Room in Sant Adrià de Besòs, Spain",2 bedrooms ·  · 2 beds ·  · Shared bathroom,€ 102 ,Stay with Angel,7 years hosting,5.0,6
Double Room - La Floresta,"Room in La Floresta, Spain",1 bed ·  · Shared bathroom,€ 51 ,Hosted by James,1 year hosting,Not guest favourite,Not guest favourite
Casa Nani,"Room in Barcelona, Spain",2 bedrooms ·  · 1 bed ·  · Shared bathroom,€ 68 ,Stay with Maciel Hernane,11 months hosting,Not guest favourite,Not guest favourite
"Habitación double H1, house 25"" in Barcelona","Room in Cabrils, Spain",1 queen bed ·  · Shared bathroom,€ 122 ,Stay with Silvia, · 1 year hosting,5.0,7
