Apartment Name,Short Description,Guest Number,Bedroom Number,Bed Number,Bath Number,Price per Night,Host Name,Account Active Since
"The apartment is very perfect, clean, comfortable, close to the sea","Room in Barcelona, Spain",Not specified,Not specified,2,Shared,€ 53 ,Stay with Ольга,3 years hosting
Double room meters from Sagrada Familia,"Room in Barcelona, Spain",Not specified,Not specified,1,Shared,€ 72 ,Stay with Valentina, · 9 months hosting
Quiet cozy room,"Room in Barberà del Vallès, Spain",Not specified,1,Not specified,Shared,€ 32 ,Hosted by Carolina,2 years hosting
Catalonia Barcelona Sabadell Suite,"Room in Sabadell, Spain",Not specified,Not specified,1,Private,€ 35 ,Hosted by Juan Manuel,1 year hosting
Generator - 1 Bed in 8 Bed Dorm,"Room in Barcelona, Spain",Not specified,Not specified,1,Shared,€ 66 ,Hosted by Generator,5 years hosting
DIVINE,"Room in Barcelona, Spain",Not specified,Not specified,1,Shared,€ 71 ,Stay with Carmen,10 years hosting
Chillax Barcelona City Centre,"Entire rental unit in Barcelona, Spain",2,1,1,2,€ 180 ,Hosted by Frank, · 12 years hosting
Apartments with sun terraces,"Entire rental unit in Castelldefels, Spain",4,1,1,1,€ 118 ,Hosted by Josep Maria, · 9 years hosting
GuestReady - Living a dream in Barcelona,"Entire rental unit in Barcelona, Spain",4,2,3,2,€ 234 ,Hosted by Gonçalo, · 6 years hosting
shares accommodation in a modern and quiet apartment,"Room in Sabadell, Spain",Not specified,Not specified,1,Shared,€ 29 ,Stay with Ivan, · 4 years hosting
Apartment near Sagrada Familia,"Entire rental unit in Barcelona, Spain",2,Not specified,Not specified,1,€ 162 ,Hosted by Juanan, · 11 years hosting
Sunny and quiet Loft next to Sagrada Familia,"Entire loft in Barcelona, Spain",2,1,1,1,€ 196 ,Hosted by Jeremies,12 years hosting
Casa Rústica en el Centro,"Room in Sabadell, Spain",Not specified,Not specified,1,Shared,€ 44 ,Stay with Marcel,1 month hosting
Beautiful and bright room,"Room in Cerdanyola del Vallès, Spain",Not specified,Not specified,1,Dedicated,€ 59 ,Stay with Anna,2 years hosting
Nice sunny room near airport,"Room in El Prat de Llobregat, Spain",Not specified,Not specified,1,Shared,€ 71 ,Stay with Antonia,3 years hosting
Room for 2 w/ Private Bathroom,"Room in Vilassar de Mar, Spain",Not specified,Not specified,2,Private,€ 62 ,Stay with Denis,2 years hosting
Large room illuminated and quiet.,"Room in Terrassa, Spain",Not specified,Not specified,1,Shared,€ 45 ,Stay with Isabel,9 years hosting
Charming Room in the Heart of the City,"Room in Barcelona, Spain",Not specified,Not specified,1,Shared,€ 139 ,Stay with Jade, · 2 months hosting
Barcelona C. de Fontcoberta | Double Room,"Entire rental unit in Barcelona, Spain",2,1,1,1,€ 199 ,Hosted by Limehome,2 years hosting
"Very large, with 2 bathrooms and a private terrace","Room in Granollers, Spain",Not specified,Not specified,5,Shared,€ 49 ,Stay with Rosa, · 1 year hosting
Hopedaje for couples.,"Room in la Barriada Nova, Spain",Not specified,Not specified,1,Shared,€ 46 ,Stay with Yolanda Cristina,5 years hosting
"lovely! 2 terraces, sun,  Lagos, pine, beach","Entire condo in Castelldefels, Spain",3,1,1,1,€ 120 ,Hosted by Isa  Y Juan,10 years hosting
Oasis in Barcelona,"Room in Sant Adrià de Besòs, Spain",Not specified,2,2,Shared,€ 102 ,Stay with Angel,7 years hosting
Double Room - La Floresta,"Room in La Floresta, Spain",Not specified,Not specified,1,Shared,€ 51 ,Hosted by James,1 year hosting
Casa Nani,"Room in Barcelona, Spain",Not specified,2,1,Shared,€ 68 ,Stay with Maciel Hernane,11 months hosting
"Habitación double H1, house 25"" in Barcelona","Room in Cabrils, Spain",Not specified,Not specified,1,Shared,€ 122 ,Stay with Silvia, · 1 year hosting
"lovely! 2 terraces, sun,  Lagos, pine, beach","Entire condo in Castelldefels, Spain",3,1,1,1,€ 120 ,Hosted by Isa  Y Juan,10 years hosting
Room with private bathroom in Barcelona Sabadell,"Room in Sabadell, Spain",Not specified,1,Not specified,Private,€ 39 ,Hosted by Juan Manuel,1 year hosting
Can Macia 2,"Room in La Roca del Vallès, Spain",Not specified,Not specified,1,Shared,€ 37 ,Hosted by Pepa,9 months hosting
Sonder Paseo de Gracia | King Room w/ Balcony,"Room in boutique hotel in Barcelona, Spain",2,1,Not specified,1,€ 384 ,Hosted by Sonder (Barcelona),3 years hosting
Villa Turquoise,"Entire villa in El Masnou, Spain",8,5,5,3,€ 635 ,Hosted by Claire,2 years hosting
Barcelona C. de Fontcoberta | Twin Room,"Entire rental unit in Barcelona, Spain",2,1,2,1,€ 183 ,Hosted by Limehome,2 years hosting
Montmelo single room,"Room in Montmeló, Spain",Not specified,Not specified,1,Shared,€ 53 ,Stay with Mohamed,1 year hosting
Vista Allegre: Family villa nestled in nature,"Entire villa in Sant Cugat del Vallès, Spain",10,5,5,4.5,€ 210 ,Hosted by Marc,2 years hosting
"Private room near Roca village, Costa","Room in la Barriada Nova, Spain",Not specified,1,Not specified,Shared,€ 43 ,Hosted by Claudia,2 years hosting
DoubleRoom w/ Private Bathroom,"Room in Vilassar de Mar, Spain",Not specified,Not specified,1,Private,€ 62 ,Stay with Denis,2 years hosting
