
Apartment Name,Short Description,Rooms and Bathrooms,Price per Night,Host Name,Account Active Since,Guest favourite stars,Guest favourite reviews
Stylish and central room with private kitchenette,"Room in hotel in Berlin, Germany",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 104 ,Hosted by The Social Hub,1 year hosting,Not guest favourite,Not guest favourite
numa I Modern Suite in Berlin Wilmersdorf,"Entire serviced apartment in Berlin, Germany",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 114 ,Hosted by Numa Novela,2 years hosting,Not guest favourite,Not guest favourite
numa | Modern Double room in lively Charlottenburg,"Entire serviced apartment in Berlin, Germany",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 109 ,Hosted by Numa Savi,9 months hosting,Not guest favourite,Not guest favourite
numa | Cozy Studio near Boxhagener Platz,"Entire serviced apartment in Berlin, Germany",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 126 ,Hosted by Numa | Sketch,3 years hosting,Not guest favourite,Not guest favourite
Serenity in Central Berlin,"Entire rental unit in Berlin, Germany",3 guests ·  · 1 bedroom ·  · 1.5 baths,€ 89 ,Hosted by Jt,3 years hosting,Not guest favourite,Not guest favourite
Ap 3 - Small apartment near Helios Klinikum,"Entire rental unit in Panketal, Germany",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 58 ,Hosted by Edgar,6 years hosting,Not guest favourite,Not guest favourite
Lovely spot in Prenzlauer Berg,"Entire rental unit in Berlin, Germany",2 guests ·  · Studio ·  · 1 bed ·  · 1 bath,€ 72 ,Hosted by Dora,6 years hosting,Not guest favourite,Not guest favourite
WONDERFUL ROOM for a bubble in Berlin Central,"Room in Berlin, Germany",1 bedroom ·  · Shared bathroom,€ 55 ,Stay with Bernd, · 13 years hosting,Not guest favourite,Not guest favourite
Apartment Motzstraße (1000) with separate bedroom,"Entire rental unit in Berlin, Germany",3 guests ·  · 1 bedroom ·  · 2 beds ·  · 1 bath,€ 108 ,Hosted by Andrew, · 6 years hosting,4.92,76
Stayery | Modern Studio near Boxhagener Platz,"Entire serviced apartment in Berlin, Germany",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 137 ,Hosted by Stayery, · 5 years hosting,Not guest favourite,Not guest favourite
Appartment on Kurfürstendamm,"Entire rental unit in Berlin, Germany",2 guests ·  · 1 bedroom ·  · 1 bath,€ 95 ,Hosted by Erik, · 9 years hosting,Not guest favourite,Not guest favourite
numa | Studio-Apartment in Berlin Mitte,"Entire serviced apartment in Berlin, Germany",2 guests ·  · Studio ·  · 1 bed ·  · 1 bath,€ 183 ,Hosted by Numa | Nook,4 years hosting,Not guest favourite,Not guest favourite
Stylish Apartment in Charlottenburg,"Entire rental unit in Berlin, Germany",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 126 ,Hosted by Ori,2 months hosting,Not guest favourite,Not guest favourite
Beautiful Flat on the Riverside,"Entire rental unit in Berlin, Germany",3 guests ·  · 1 bedroom ·  · 2 beds ·  · 1 bath,€ 97 ,Hosted by Niklas,3 years hosting,Not guest favourite,Not guest favourite
Spacious Room in Cozy Kreuzberg Altbau,"Room in Berlin, Germany",1 bedroom ·  · Shared bathroom,€ 90 ,Stay with Sarah, · 9 years hosting,Not guest favourite,Not guest favourite
Comfortable charming flat,"Entire rental unit in Berlin, Germany",2 guests ·  · 1 bedroom ·  · 2 beds ·  · 1 bath,€ 65 ,Hosted by Meltem, · 1 year hosting,5.0,12
Studio am Engelbecken Berlin,"Entire rental unit in Berlin, Germany",2 guests ·  · 1 bedroom ·  · 2 beds ·  · 1 bath,€ 114 ,Hosted by Rolf, · 11 years hosting,Not guest favourite,Not guest favourite
quiet guesthouse in Berlin Bohnsdorf,"Entire guesthouse in Berlin, Germany",2 guests ·  · 1 bedroom ·  · 4 beds ·  · 1 bath,€ 80 ,Hosted by Jens, · 3 years hosting,5.0,11
Komfortables 2 Zimmer Apartment in Berlin Treptow,"Entire rental unit in Berlin, Germany",2 guests ·  · 1 bedroom ·  · 1 bath,€ 115 ,Hosted by Klaus, · 4 years hosting,5.0,8
LGBTQ+ & Veggie friendly room in schöneberg Berlin,"Room in Berlin, Germany",1 bedroom ·  · Shared bathroom,€ 95 ,Stay with Omar, · 2 years hosting,5.0,16
Beautiful apartment with private garden!,"Entire condo in Berlin, Germany",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 187 ,Hosted by Théa,2 years hosting,Not guest favourite,Not guest favourite
52m² apartment in the heart of Charlottenburg,"Entire serviced apartment in Berlin, Germany",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 209 ,Hosted by Carlotta Apartments, · 6 months hosting,Not guest favourite,Not guest favourite
Fantastic apartment in prime location,"Entire condo in Berlin, Germany",4 guests ·  · 1 bedroom ·  · 2 beds ·  · 1 bath,€ 332 ,Hosted by Antonia,1 month hosting,Not guest favourite,Not guest favourite
Charming Friedrichshain Getaway!,"Entire rental unit in Berlin, Germany",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 207 ,Hosted by Julia,8 months hosting,Not guest favourite,Not guest favourite
SMARTments - Temporary living in Berlin-Karlshorst,"Room in serviced apartment in Berlin, Germany",1 guest ·  · 1 bedroom ·  · 1 bed ·  · 1 private bath,€ 101 ,Hosted by SMARTments,6 years hosting,Not guest favourite,Not guest favourite
"Private Room in a house, near FU and metro","Room in Berlin, Germany",1 single bed ·  · Shared bathroom,€ 39 ,Hosted by Arne,3 years hosting,Not guest favourite,Not guest favourite
Quiet & Green in the North of Berlin,"Room in Berlin, Germany",1 queen bed ·  · Shared bathroom,€ 51 ,Stay with Bianca, · 6 years hosting,Not guest favourite,Not guest favourite
numa | Stylish Studio in urban Friedrichshain,"Entire serviced apartment in Berlin, Germany",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 131 ,Hosted by Numa | Sketch,3 years hosting,Not guest favourite,Not guest favourite
Ap 12 - Modern apartment on the border with Berlin,"Entire rental unit in Panketal, Germany",2 guests ·  · 1 bedroom ·  · 2 beds ·  · 1 bath,€ 75 ,Hosted by Edgar,6 years hosting,Not guest favourite,Not guest favourite
numa | Cosy Suite in Berlin's Charlottenburg,"Entire serviced apartment in Berlin, Germany",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 118 ,Hosted by Numa Savi,9 months hosting,Not guest favourite,Not guest favourite
limehome Berlin Luise-Henriette-Str | Single Suite,"Entire rental unit in Berlin, Germany",1 guest ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 116 ,Hosted by Limehome,2 years hosting,Not guest favourite,Not guest favourite
Rooms in the countryside,"Room in Kleinmachnow, Germany",1 bedroom ·  · Private attached bathroom,€ 66 ,Hosted by Orsolya,1 year hosting,5.0,12
Nice place to stay (single) with workspace and garden,"Room in Berlin, Germany",1 bedroom ·  · Shared bathroom,€ 85 ,Stay with Rita,2 years hosting,5.0,5
Green space,"Camper/RV in Berlin, Germany",2 guests ·  · 1 bedroom ·  · 1 bath,€ 49 ,Hosted by Elisabeth, · 2 years hosting,4.85,27
"Penthouse Apartment in Schillerkiez, Neukölln","Entire rental unit in Berlin, Germany",2 guests ·  · 1 bedroom ·  · 1 bath,€ 150 ,Hosted by Christoph,2 years hosting,Not guest favourite,Not guest favourite
New 80sqm - Altbau near Ku´damm,"Entire rental unit in Berlin, Germany",3 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 143 ,Hosted by Max,11 years hosting,Not guest favourite,Not guest favourite
"Bernau, Apartment at the Shepherd's Feel","Entire condo in Bernau bei Berlin, Germany",3 guests ·  · Studio ·  · 1 bath,€ 100 ,Hosted by Christian, · 2 years hosting,5.0,14
Cosy Appartment at Hermannplatz,"Entire rental unit in Berlin, Germany",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 250 ,Hosted by Matthias,9 months hosting,5.0,6
1 room apartment,"Entire rental unit in Berlin, Germany",1 guest ·  · Studio ·  · 1 bed ·  · 1 bath,€ 63 ,Hosted by Behzad,1 year hosting,Not guest favourite,Not guest favourite
