Apartment Name,Short Description,Rooms and Bathrooms,Price per Night,Host Name,Account Active Since,Guest favourite stars,Guest favourite reviews
Apartment Name,Short Description,Rooms and Bathrooms,Price per Night,Host Name,Account Active Since,Guest favourite stars,Guest favourite reviews
Private room/to strip 10mins,"Private room in bungalow in Las Vegas, Nevada, United States",1 guest ·  · 1 bedroom ·  · 1 bed ·  · 1 private bath,€ 36 ,Hosted by Judy,4 years hosting,Not guest favourite,Not guest favourite
Las Vegas. Simple bed. Discount,"Room in Las Vegas, Nevada, United States",1 single bed ·  · 1.5 shared bathrooms,€ 19 ,Hosted by Abcdefghijklmn,4 years hosting,Not guest favourite,Not guest favourite
"#Central condo near UNLV STRIP, convention 2 beds","Entire rental unit in Las Vegas, Nevada, United States",4 guests ·  · 1 bedroom ·  · 2 beds ·  · 1 bath,€ 83 ,Hosted by Rich, · 10 years hosting,5.0,31
Las Vegas. Simple bed. Discount,"Room in Las Vegas, Nevada, United States",1 bed ·  · 1.5 shared bathrooms,€ 19 ,Hosted by Sea,2 years hosting,Not guest favourite,Not guest favourite
Las Vegas. Discount room. Simple,"Room in Las Vegas, Nevada, United States",1 single bed ·  · 1.5 shared bathrooms,€ 19 ,Hosted by Zero,2 years hosting,Not guest favourite,Not guest favourite
Luxury Villa#4 *(800sq)*Pool*4 Miles to Strip,"Entire villa in Las Vegas, Nevada, United States",4 guests ·  · 1 bedroom ·  · 2 beds ·  · 1 bath,€ 97 ,Hosted by V&L Home, · 3 years hosting,Not guest favourite,Not guest favourite
Clean & Quiet Private Room in A Gated Community!,"Room in Las Vegas, Nevada, United States",1 queen bed ·  · Private attached bathroom,€ 54 ,Stay with Rashidat, · 2 years hosting,Not guest favourite,Not guest favourite
SuperHost 5 Star Service with 2 Bedrooms U009,"Entire condo in Las Vegas, Nevada, United States",5 guests ·  · 2 bedrooms ·  · 2 beds ·  · 1 bath,€ 111 ,Hosted by Allan, · 9 years hosting,4.86,28
King Room - 1 bed,"Room in hotel in Las Vegas, Nevada, United States",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 private bath,€ 206 ,Hosted by Suiteness,4 years hosting,Not guest favourite,Not guest favourite
New Renovated Villa #2* 4 Miles 2 Strip*RV PK*Pool,"Entire villa in Las Vegas, Nevada, United States",3 guests ·  · 1 bedroom ·  · 2 beds ·  · 1 bath,€ 85 ,Hosted by V&L Home, · 3 years hosting,Not guest favourite,Not guest favourite
New gated community! Cozy room with workspace,"Room in North Las Vegas, Nevada, United States",1 bed ·  · Shared bathroom,€ 33 ,Hosted by Audrey, · 1 year hosting,5.0,5
"Master suite, private patio, close to Strip, UNLV","Room in Las Vegas, Nevada, United States",1 king bed ·  · Shared bathroom,€ 62 ,Stay with William, · 8 years hosting,Not guest favourite,Not guest favourite
The Birdbath - Green Room,"Room in Las Vegas, Nevada, United States",1 queen bed ·  · Shared bathroom,€ 59 ,Stay with Barbara, · 11 years hosting,Not guest favourite,Not guest favourite
Vegas cozy small room,"Room in North Las Vegas, Nevada, United States",1 bedroom ·  · Shared bathroom,€ 21 ,Hosted by Ferdinand, · 11 years hosting,Not guest favourite,Not guest favourite
TE25* Strip View Studio/No Resorts Fee/Lobby Bar,"Entire serviced apartment in Las Vegas, Nevada, United States",4 guests ·  · Studio ·  · 2 beds ·  · 1 bath,€ 139 ,Hosted by StripViewSuites,5 years hosting,Not guest favourite,Not guest favourite
Chinatown Private Casita Near Strip,"Private room in guesthouse in Las Vegas, Nevada, United States",1 guest ·  · 1 bedroom ·  · 1 shared bath,€ 58 ,Hosted by Matthew, · 6 years hosting,Not guest favourite,Not guest favourite
Casa Lucaccini - Gym/Pool/Spa/ Prime Location 4BR,"Entire home in Las Vegas, Nevada, United States",10 guests ·  · 4 bedrooms ·  · 6 beds ·  · 3 baths,€ 297 ,Hosted by Gigi,3 years hosting,5.0,9
F11K1 1BD/2BA Strip View/Balcony/Full Kitchen/Pool,"Entire serviced apartment in Las Vegas, Nevada, United States",4 guests ·  · 1 bedroom ·  · 2 beds ·  · 2 baths,€ 176 ,Hosted by Alex, · 9 years hosting,4.89,37
LV luxury studio/10mins to the strip&downtown,"Room in Las Vegas, Nevada, United States",1 bedroom ·  · Private attached bathroom,€ 85 ,Hosted by Yan, · 9 years hosting,Not guest favourite,Not guest favourite
"UNLV 2 bdrm., MGM Strip","Entire rental unit in Las Vegas, Nevada, United States",4 guests ·  · 2 bedrooms ·  · 2 beds ·  · 1 bath,€ 143 ,Hosted by Enterprise LLC,5 years hosting,Not guest favourite,Not guest favourite
