Apartment Name,Short Description,Rooms and Bathrooms,Price per Night,Host Name,Account Active Since,Guest favourite stars,Guest favourite reviews
Amazing studio completely new,"Entire rental unit in Lisboa, Portugal",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 74 ,Hosted by Fabio,8 years hosting,Not guest favourite,Not guest favourite
Ideal to work from home; close to the Airport,"Entire rental unit in Lisboa, Portugal",2 guests ·  · 1 bedroom ·  · 2 beds ·  · 1 bath,€ 61 ,Hosted by Ana, · 13 years hosting,Not guest favourite,Not guest favourite
Bedroom with balcony in homestay,"Private room in rental unit in Lisboa, Portugal",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 shared bath,€ 56 ,Hosted by Nathalia,6 years hosting,Not guest favourite,Not guest favourite
Ipanema room,"Private room in rental unit in Lisboa, Portugal",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 shared bath,€ 59 ,Hosted by Ema Guest House,5 years hosting,Not guest favourite,Not guest favourite
Estrela Charming Mix Dorm 8 by HOST-POINT,"Room in Lisboa, Portugal",2 bunk beds ·  · Shared bathroom,€ 30 ,Hosted by Francisco,4 years hosting,Not guest favourite,Not guest favourite
Private room Twin  - 5 minutes Lisbon airport,"Private room in serviced apartment in Lisboa, Portugal",2 guests ·  · 1 bedroom ·  · 2 beds ·  · 1 shared bath,€ 40 ,Hosted by Alojamentos,8 years hosting,Not guest favourite,Not guest favourite
between picoas and Marquis de pombal metrostation,"Room in Lisboa, Portugal",2 double beds ·  · Shared bathroom,€ 35 ,Stay with Rzl, · 4 years hosting,4.94,34
new sunny house! your home Lisbon apartment,"Entire rental unit in Lisboa, Portugal",3 guests ·  · 1 bedroom ·  · 1 bath,€ 75 ,Hosted by Marconni,2 years hosting,Not guest favourite,Not guest favourite
★ Campo Pequeno Av ★ Lisboa Praça de Touros Room 3,"Room in Lisboa, Portugal",1 double bed ·  · Shared bathroom,€ 55 ,Hosted by Maria De Jesus,10 years hosting,Not guest favourite,Not guest favourite
Room in Odivelas,"Room in Odivelas, Portugal",1 bed ·  · Shared bathroom,€ 34 ,Hosted by Cintia, · 3 years hosting,4.89,9
Cosy & Chic - Superb central beach location,Entire condo in Cascais,2 guests ·  · 1 bedroom ·  · 1 bath,€ 105 ,Hosted by Nuno, · 12 years hosting,4.97,30
★ Campo Pequeno Avenue ★ Lisboa City Center Room 5,"Room in serviced apartment in Lisboa, Portugal",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 2 shared baths,€ 63 ,Hosted by Maria De Jesus,10 years hosting,Not guest favourite,Not guest favourite
