Apartment Name,Short Description,Rooms and Bathrooms,Price per Night,Host Name,Account Active Since,Guest favourite stars,Guest favourite reviews
Camborg: Flat 2.5mi South of Thames,"Room in London, England, GB, United Kingdom",1 double bed ·  · Shared bathroom,€ 36 ,Stay with Joe,7 years hosting,Not guest favourite,Not guest favourite
Private Ensuite IS-203B,"Room in Greater London, United Kingdom",1 bedroom ·  · Private attached bathroom,€ 49 ,Hosted by Sam,2 years hosting,Not guest favourite,Not guest favourite
Big charming double room in zone 2,"Room in London, United Kingdom",1 double bed ·  · Shared bathroom,€ 49 ,Stay with Eliana,10 years hosting,Not guest favourite,Not guest favourite
Lovely Private Room in Putney,"Room in Greater London, United Kingdom",1 bedroom ·  · Shared bathroom,€ 50 ,Stay with Freddie, · 2 years hosting,4.93,27
Private room in Spacious East London Apartment,"Room in Greater London, United Kingdom",1 bedroom ·  · Shared bathroom,€ 80 ,Hosted by Jack,2 years hosting,5.0,19
Super king en-suite in Kensal Green NW10,"Room in Greater London, United Kingdom",1 king bed ·  · Dedicated bathroom,€ 57 ,Stay with Elizabeth, · 6 years hosting,4.93,15
Cosy single room near Paddington Academy,"Room in Greater London, United Kingdom",1 single bed ·  · Shared bathroom,€ 47 ,Hosted by Ahmed, · 9 months hosting,Not guest favourite,Not guest favourite
Spacious Room in Ealing Broadway,"Room in Greater London, United Kingdom",1 double bed ·  · Shared bathroom,€ 36 ,Hosted by Rami, · 9 months hosting,Not guest favourite,Not guest favourite
Stylish & cosy micro studio in prime area-Basement,"Entire rental unit in Greater London, United Kingdom",1 guest ·  · Studio ·  · 1 bed ·  · 1 bath,€ 119 ,Hosted by Beatrix, · 5 years hosting,Not guest favourite,Not guest favourite
Beautiful Studio 6 - Chapel Market,"Entire rental unit in Greater London, United Kingdom",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 110 ,Hosted by Haewon,1 year hosting,Not guest favourite,Not guest favourite
Nice studio  at safe and premium area,"Entire rental unit in Greater London, United Kingdom",1 guest ·  · Studio ·  · 1 bath,€ 159 ,Hosted by The Host Club,2 years hosting,Not guest favourite,Not guest favourite
1BR Retreat near Twickenham Stadium,"Entire rental unit in Greater London, United Kingdom",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 95 ,Hosted by Ashley, · 1 year hosting,4.90,10
Private Room in Haggerston Flat,"Room in Greater London, United Kingdom",0 bedrooms ·  · Shared bathroom,€ 66 ,Hosted by Gizem,1 year hosting,Not guest favourite,Not guest favourite
Single room close Stepneystation,"Room in Greater London, United Kingdom",1 bed ·  · Shared bathroom,€ 46 ,Stay with Jonathan,8 years hosting,Not guest favourite,Not guest favourite
Cozy Single Room - Friendly Home,"Room in Greater London, United Kingdom",1 bed ·  · Shared bathroom,€ 41 ,Hosted by Ariel, · 11 months hosting,Not guest favourite,Not guest favourite
Safe Spacious Triple Room in the Heart of East Ldn,"Room in Greater London, United Kingdom",2 beds ·  · Shared bathroom,€ 57 ,Stay with Raquel & Lui, · 5 years hosting,Not guest favourite,Not guest favourite
Bright Ground Floor room W/Beautiful Garden Access,"Room in Greater London, United Kingdom",1 bed ·  · Shared bathroom,€ 50 ,Hosted by Adam,4 years hosting,Not guest favourite,Not guest favourite
Private Room at Canada Water Zone 2 by The Thames,"Room in Greater London, United Kingdom",1 single bed ·  · Shared bathroom,€ 45 ,Hosted by Lily,7 years hosting,Not guest favourite,Not guest favourite
"A cosy room SE25, 25mins train to central LNDN","Room in Greater London, United Kingdom",1 small double bed ·  · Shared bathroom,€ 44 ,Stay with Fiona, · 7 years hosting,Not guest favourite,Not guest favourite
Luxury Detached House 3 min. walk to train station,"Room in Greater London, United Kingdom",2 bedrooms ·  · 2 beds ·  · Shared bathroom,€ 41 ,Stay with Sue, · 2 years hosting,5.0,13
"Micro studio in prime area, Notting Hill -Basement","Entire condo in Greater London, United Kingdom",1 guest ·  · Studio ·  · 1 bed ·  · 1 bath,€ 142 ,Hosted by Beatrix, · 5 years hosting,Not guest favourite,Not guest favourite
Sunny + spacious flat by Clissold Park,"Entire condo in Greater London, United Kingdom",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 100 ,Hosted by Simon,5 years hosting,Not guest favourite,Not guest favourite
