Apartment Name,Short Description,Rooms and Bathrooms,Price per Night,Host Name,Account Active Since,Guest favourite stars,Guest favourite reviews
Sonder Lüm | Small King Room w/ Terrace,"Room in boutique hotel in Inglewood, California, United States",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 92 ,Hosted by Sonder (Los Angeles),3 years hosting,Not guest favourite,Not guest favourite
Silverlake GardenOasis Room Private Bathroom w/Tub,"Room in Los Angeles, California, United States",1 double bed ·  · Dedicated bathroom,€ 65 ,Stay with Alexis, · 10 years hosting,Not guest favourite,Not guest favourite
Kasa Sunset | Queen Studio Near Hollywood,"Entire serviced apartment in Los Angeles, California, United States",2 guests ·  · Studio ·  · 1 bed ·  · 0 baths,€ 158 ,Hosted by Kasa,8 years hosting,Not guest favourite,Not guest favourite
# 5 Stylish Room Free Netflix Fast WiFi,"Room in Inglewood, California, United States",1 queen bed ·  · Shared bathroom,€ 51 ,Stay with Cristina, · 7 years hosting,Not guest favourite,Not guest favourite
"~Spacious Studio 1/mi to LAX,3/mi Breezy Shores #4","Entire guest suite in Hawthorne, California, United States",3 guests ·  · 1 bedroom ·  · 1 bath,€ 89 ,Hosted by Victori,2 years hosting,Not guest favourite,Not guest favourite
Peaceful 1 Private Bedroom inWalkable WestTorrance,"Room in Torrance, California, United States",1 double bed ·  · Shared bathroom,€ 53 ,Stay with Rafael, · 2 years hosting,4.96,57
STILE DTLA | King Room in the Fashion District,"Room in hotel in Los Angeles, California, United States",2 guests ·  · Studio ·  · 1 bed ·  · 1 private bath,€ 118 ,Hosted by Kasa,8 years hosting,4.83,52
Sonder The Craftsman | King Studio w/ City View,"Entire rental unit in Los Angeles, California, United States",4 guests ·  · Studio ·  · 2 beds ·  · 1 bath,€ 150 ,Hosted by Sonder (Los Angeles),3 years hosting,Not guest favourite,Not guest favourite
"Hummingbird Retreat-A/C, 5 min to NGC, Beach, TJs","Room in Redondo Beach, California, United States",1 queen bed ·  · Shared bathroom,€ 70 ,Stay with Zoe, · 7 years hosting,Not guest favourite,Not guest favourite
Lux Studio w/Balcony near DTLA and Hollywood,"Entire rental unit in Los Angeles, California, United States",3 guests ·  · Studio ·  · 1 bed ·  · 1 bath,€ 127 ,Hosted by Vee, · 3 years hosting,Not guest favourite,Not guest favourite
Cozy Haven in Little Tokyo W/ Skyline Views + Gym,"Entire rental unit in Los Angeles, California, United States",4 guests ·  · Studio ·  · 1 bed ·  · 1 bath,€ 130 ,Hosted by Kevin, · 9 years hosting,5.0,38
Quiet area nice neighborhood,"Entire home in View Park-Windsor Hills, California, United States",1 guest ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 95 ,Hosted by Orit,1 year hosting,5.0,7
Cozy Private Room near Burbank Studios,"Room in Burbank, California, United States",1 double bed ·  · Shared bathroom,€ 71 ,Stay with Phyllis, · 11 years hosting,4.81,78
Beachside Place in Santa Monica,"Entire rental unit in Santa Monica, California, United States",2 guests ·  · Studio ·  · 1 bed ·  · 1 bath,€ 142 ,Hosted by Sam, · 5 years hosting,Not guest favourite,Not guest favourite
"Cozy Ranch w Hot Tub near Nature, Hospitals, Shops","Entire home in Los Angeles, California, United States",6 guests ·  · 3 bedrooms ·  · 3 beds ·  · 1.5 baths,€ 172 ,Hosted by Viktor, · 3 years hosting,Not guest favourite,Not guest favourite
Blue Room at Casa de Sierra Bonita #4,"Room in West Hollywood, California, United States",1 single bed ·  · Shared bathroom,€ 87 ,Hosted by Jed, · 3 years hosting,4.94,97
"Glamorous spacious home in the heart of LA, UCLA","Entire condo in Los Angeles, California, United States",4 guests ·  · 2 bedrooms ·  · 2 beds ·  · 2.5 baths,€ 204 ,Hosted by Aimee, · 11 years hosting,5.0,22
Adorable 1-bedroom guest house with firepit,"Entire guesthouse in Los Angeles, California, United States",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 138 ,Hosted by Khurram, · 2 years hosting,4.96,25
2Bedroom Designer Condo with Gym,"Entire rental unit in Marina del Rey, California, United States",4 guests ·  · 2 bedrooms ·  · 2 beds ·  · 1 bath,€ 204 ,Hosted by Troy, · 1 year hosting,4.97,29
The house on Ford,"Entire home in East Los Angeles, California, United States",4 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 84 ,Hosted by Alizah,6 years hosting,5.0,10
"Cozy Room-ShrdBath,Washr/Dry-TV","Room in Los Angeles, California, United States",1 bed ·  · Shared bathroom,€ 60 ,Hosted by NDeye,4 years hosting,Not guest favourite,Not guest favourite
Kasa Sunset | King Studio in Hollywood,"Entire serviced apartment in Los Angeles, California, United States",2 guests ·  · Studio ·  · 1 bed ·  · 1 bath,€ 165 ,Hosted by Kasa,8 years hosting,Not guest favourite,Not guest favourite
"Vibrant Studio Space, Your Next Private Getaway.","Entire guest suite in Lakewood, California, United States",3 guests ·  · 1 bedroom ·  · 2 beds ·  · 1 bath,€ 74 ,Hosted by Michael, · 10 months hosting,4.71,14
# 4 SUITE Private  Bath/ Entrance A/C FREE NETFLIX,"Room in Inglewood, California, United States",1 queen bed ·  · Private attached bathroom,€ 54 ,Hosted by Cristina, · 7 years hosting,Not guest favourite,Not guest favourite
STILE DTLA | Queen Room Near the Hollywood Bowl,"Room in hotel in Los Angeles, California, United States",2 guests ·  · Studio ·  · 1 bed ·  · 1 private bath,€ 117 ,Hosted by Kasa,8 years hosting,Not guest favourite,Not guest favourite
Cozy Room with Urban Jungle,"Room in Maywood, California, United States",1 double bed ·  · Shared bathroom,€ 59 ,Stay with Armida, · 3 years hosting,4.94,101
"Perfect Location Walk to Movies,Gym,Supermarket R2","Room in Monterey Park, California, United States",1 king bed ·  · Shared bathroom,€ 52 ,Hosted by Tiffany, · 6 years hosting,Not guest favourite,Not guest favourite
Private room in house.,"Room in Redondo Beach, California, United States",1 double bed ·  · Shared bathroom,€ 79 ,Stay with Katherine, · 7 years hosting,4.95,210
Heart of Koreatown - Lush Haven,"Entire rental unit in West Hollywood, California, United States",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 166 ,Hosted by Larissa, · 1 year hosting,Not guest favourite,Not guest favourite
Art District | Walk to Little Tokyo | Views of LA,"Entire rental unit in Los Angeles, California, United States",4 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 131 ,Hosted by Kevin, · 9 years hosting,4.88,32
Private room with desk near LGB,"Room in Long Beach, California, United States",1 queen bed ·  · Shared bathroom,€ 57 ,Hosted by Elena, · 2 months hosting,Not guest favourite,Not guest favourite
PrivateBathRM/Beautiful2ndFCozyRoom/RokuTV,"Room in San Gabriel, California, United States",1 queen bed ·  · Private attached bathroom,€ 54 ,Hosted by Polly,7 years hosting,Not guest favourite,Not guest favourite
4) Cozy 1 bdrm in Prime Location 舒適1 bdrm在完美的位置,"Room in Rowland Heights, California, United States",1 queen bed ·  · Dedicated bathroom,€ 46 ,Stay with Aileen, · 7 years hosting,Not guest favourite,Not guest favourite
Charming Modern Flat,"Entire home in San Gabriel, California, United States",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 91 ,Hosted by David Wai, · 7 years hosting,Not guest favourite,Not guest favourite
Huge master room very convenient location R3,"Room in Monterey Park, California, United States",1 king bed ·  · Dedicated bathroom,€ 63 ,Hosted by Tiffany, · 6 years hosting,4.92,25
Modern Luxury Studio Patio LAX Beach,"Entire rental unit in Los Angeles, California, United States",2 guests ·  · Studio ·  · 1 bed ·  · 1 bath,€ 111 ,Hosted by Eliza & Justin Of Orange Door Stays, · 9 years hosting,Not guest favourite,Not guest favourite
Peaceful & Cozy Room in Quiet Home in Norwalk,"Room in Norwalk, California, United States",1 double bed ·  · Shared bathroom,€ 59 ,Stay with Gabriela, · 8 months hosting,Not guest favourite,Not guest favourite
Room Available in 3 bedroom  home with mini-fridge,"Room in Los Angeles, California, United States",1 double bed ·  · No bathroom,€ 56 ,Stay with Mark,3 years hosting,Not guest favourite,Not guest favourite
~Charming Studio Oasis in the Heart LA W/ Gym~,"Entire rental unit in Los Angeles, California, United States",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 107 ,Hosted by Velle,2 years hosting,Not guest favourite,Not guest favourite
Trendy & Modern 1 Bed/1 Bath Apartment Alhambra,"Entire rental unit in Alhambra, California, United States",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 109 ,Hosted by Michelle,7 years hosting,Not guest favourite,Not guest favourite
CLEAN // BEVERLY HILLS GuestHouse - Cedars-Sinai,"Entire guesthouse in Beverly Hills, California, United States",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 139 ,Hosted by Manige, · 12 years hosting,Not guest favourite,Not guest favourite
#223 Arts District / Little Tokyo Private Room,"Room in hotel in Los Angeles, California, United States",2 guests ·  · Studio ·  · 1 bed ·  · 11 baths,€ 38 ,Hosted by Zack,11 years hosting,Not guest favourite,Not guest favourite
Designer Home in Art District | Free Gated Parking,"Entire rental unit in Los Angeles, California, United States",4 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 135 ,Hosted by Kevin, · 9 years hosting,4.89,28
Private room in the heart of LA,"Room in Los Angeles, California, United States",1 bedroom ·  · Private attached bathroom,€ 69 ,Hosted by Makaylo,2 years hosting,Not guest favourite,Not guest favourite
Spacious place to stay,"Room in Baldwin Park, California, United States",1 double bed ·  · Shared bathroom,€ 43 ,Stay with Kun Yu,3 months hosting,5.0,14
Sunshine private entrance studio,"Entire home in La Puente, California, United States",1 guest ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 55 ,Hosted by Zoe, · 7 years hosting,4.78,80
"Arcadia good district, near 210 freeway, Pasadena City College, Caltech","Private room in home in Arcadia, California, United States",1 guest ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 70 ,Hosted by Bernadette,2 months hosting,Not guest favourite,Not guest favourite
cc. KOREATOWn LA Private Room,"Room in Los Angeles, California, United States",1 bed ·  · Shared bathroom,€ 44 ,Hosted by Serge,11 months hosting,Not guest favourite,Not guest favourite
Private MasterBedroom in perfect Area,"Room in Los Angeles, California, United States",1 bedroom ·  · Private attached bathroom,€ 79 ,Stay with Aresu, · 5 months hosting,5.0,8
Private bedroom with bathroom in Luxury House,"Room in Los Angeles, California, United States",1 double bed ·  · Dedicated bathroom,€ 139 ,Stay with Anna, · 8 years hosting,4.94,50
Welcome to the bedroom in a secluded paradise!,"Room in Los Angeles, California, United States",1 bedroom ·  · Private attached bathroom,€ 84 ,Hosted by Virginia, · 2 years hosting,4.97,34
Cozy Room-1Bath private-Central LA-Laundry,"Private room in home in View Park-Windsor Hills, California, United States",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 56 ,Hosted by Niaz,4 years hosting,Not guest favourite,Not guest favourite
One room with king size bed,"Room in hotel in Inglewood, California, United States",2 guests ·  · 2 bedrooms ·  · 1 bed ·  · 1 private bath,€ 53 ,Hosted by Isaac, · 7 years hosting,Not guest favourite,Not guest favourite
Retro Row Studio with AC near Beach,"Entire rental unit in Long Beach, California, United States",4 guests ·  · Studio ·  · 2 beds ·  · 1 bath,€ 94 ,Hosted by Ajay, · 10 years hosting,Not guest favourite,Not guest favourite
Retro Row Studio with AC near Beach,"Entire rental unit in Long Beach, California, United States",4 guests ·  · Studio ·  · 2 beds ·  · 1 bath,€ 94 ,Hosted by Ajay, · 10 years hosting,Not guest favourite,Not guest favourite
Private bedroom in a family home,"Room in Los Angeles, California, United States",1 king bed ·  · Private attached bathroom,€ 76 ,Hosted by Amelia, · 5 years hosting,5.0,7
Room 3,"Room in Hacienda Heights, California, United States",1 queen bed ·  · Shared bathroom,€ 39 ,Hosted by Kevin,1 year hosting,5.0,7
"Private Bathroom,  Self check in & out","Entire home in Monrovia, California, United States",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 47 ,Hosted by Laura,4 years hosting,Not guest favourite,Not guest favourite
Private Room & Bath Co-living Nr. Culver City,"Private room in townhouse in Los Angeles, California, United States",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 private bath,€ 73 ,Hosted by Just Bring Your Toothbrush,6 years hosting,Not guest favourite,Not guest favourite
#1 Private Cozy & Charming Apt.,"Entire rental unit in Monterey Park, California, United States",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 98 ,Hosted by Petra And Joe, · 6 years hosting,Not guest favourite,Not guest favourite
In the heart of Beverly Hills,"Entire rental unit in Beverly Hills, California, United States",2 guests ·  · 1 bedroom ·  · 1 bath,€ 121 ,Hosted by Baba,11 years hosting,Not guest favourite,Not guest favourite
"Modern, Intimate Condo in Downtown Long Beach","Room in Long Beach, California, United States",1 queen bed ·  · Shared bathroom,€ 53 ,Stay with Manuel, · 8 years hosting,Not guest favourite,Not guest favourite
Santa Monica beach studio#3!,"Entire rental unit in Santa Monica, California, United States",2 guests ·  · Studio ·  · 1 bed ·  · 1 bath,€ 163 ,Hosted by Susannah,6 months hosting,Not guest favourite,Not guest favourite
“N”private Queenbed & hairdryer near10or605fwy!,"Room in El Monte, California, United States",1 queen bed ·  · Shared half bathroom,€ 46 ,Stay with Alice,2 years hosting,5.0,11
Downtown 1Bed+1bath+freeParking+patio+Pool+Hot tub,"Entire rental unit in Los Angeles, California, United States",4 guests ·  · 1 bedroom ·  · 1 bath,€ 152 ,Hosted by Jay,9 months hosting,Not guest favourite,Not guest favourite
Incredible DTLB Location SmartTV/Netflix,"Entire rental unit in Long Beach, California, United States",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 98 ,Hosted by Patrick, · 6 years hosting,Not guest favourite,Not guest favourite
Apartment ~ Near West Hollywood,"Entire rental unit in Los Angeles, California, United States",2 guests ·  · 1 bedroom ·  · 1 bath,€ 127 ,Hosted by Monthier,7 years hosting,Not guest favourite,Not guest favourite
Loft-style penthouse in WeHo,"Entire rental unit in Beverly Hills, California, United States",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 2 baths,€ 170 ,Hosted by Natalie,6 months hosting,Not guest favourite,Not guest favourite
Gorgeous Los Angeles Home w/ Pool & Spa,"Room in Los Angeles, California, United States",1 bedroom ·  · Dedicated bathroom,€ 115 ,Stay with Pamela, · 8 years hosting,4.92,26
