Apartment Name,Short Description,Rooms and Bathrooms,Price per Night,Host Name,Account Active Since,Guest favourite stars,Guest favourite reviews
Comfort and Convenience with A/C - Near Montmartre,"Entire rental unit in Paris, France",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 58 ,Hosted by Checkmyguest,2 years hosting,Not guest favourite,Not guest favourite
GuestReady - Simplicity and comfort,"Entire rental unit in Pantin, France",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 59 ,Hosted by Dimitri,8 months hosting,Not guest favourite,Not guest favourite
3 Cosy Saint Sauveur,"Entire rental unit in Paris, France",2 guests ·  · 1 bedroom ·  · 1 bath,€ 94 ,Hosted by Triangle D'Or,8 years hosting,Not guest favourite,Not guest favourite
Quiet studio in the 11th arr.,"Entire rental unit in Paris, France",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 77 ,Hosted by Elif,3 months hosting,Not guest favourite,Not guest favourite
Studio 119,"Entire rental unit in Levallois-Perret, France",2 guests ·  · Studio ·  · 1 bed ·  · 1 bath,€ 77 ,Hosted by Jonathan, · 10 years hosting,Not guest favourite,Not guest favourite
GuestReady - Stylish Hideaway near Bercy Parc,"Entire rental unit in Paris, France",2 guests ·  · Studio ·  · 1 bed ·  · 1 bath,€ 70 ,Hosted by Ludovic,5 months hosting,Not guest favourite,Not guest favourite
Charming mobility lease studio - Clichy,"Entire rental unit in Clichy, France",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 50 ,Hosted by Randa, · 1 year hosting,Not guest favourite,Not guest favourite
🌻Charming studio 🌼 under the fig tree only for you,"Entire rental unit in Houilles, France",1 guest ·  · Studio ·  · 1 bed ·  · 1 bath,€ 29 ,Hosted by Mickael, · 3 years hosting,4.92,95
Cosy and bright little apartment - Ménilmontant,"Entire rental unit in Paris, France",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 99 ,Hosted by Checkmyguest,2 years hosting,Not guest favourite,Not guest favourite
Charming and Spacious (45m) Apartment by the Canal,"Entire rental unit in Paris, France",3 guests ·  · 1 bedroom ·  · 1 bath,€ 73 ,Hosted by Omer,6 years hosting,5.0,16
Modern studio near Place de la Nation,"Entire rental unit in Paris, France",2 guests ·  · Studio ·  · 2 beds ·  · 1 bath,€ 100 ,Hosted by Checkmyguest,2 years hosting,Not guest favourite,Not guest favourite
Lovely apartment in Clichy - refurbished!,"Entire rental unit in Clichy, France",1 guest ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 52 ,Hosted by Charles, · 11 years hosting,Not guest favourite,Not guest favourite
Apartment Oberkampf/Saint-Maur,"Entire rental unit in Paris, France",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 85 ,Hosted by Juliet,2 years hosting,Not guest favourite,Not guest favourite
Cozy and quiet studio,"Entire rental unit in Paris, France",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 90 ,Hosted by Charlotte, · 11 years hosting,Not guest favourite,Not guest favourite
Modern apartment in a hotel residence,"Entire rental unit in Paris, France",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 96 ,Hosted by Checkmyguest,2 years hosting,Not guest favourite,Not guest favourite
Spacious 1 Bedroom - Bastille,"Entire rental unit in Paris, France",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 162 ,Hosted by Cyrielle Et Nicolas, · 10 years hosting,Not guest favourite,Not guest favourite
An apartment near the Seine,"Entire rental unit in Paris, France",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1.5 baths,€ 104 ,Hosted by Younes, · 10 years hosting,Not guest favourite,Not guest favourite
Beautiful fully equipped and bright studio.,"Entire rental unit in Paris, France",2 guests ·  · 1 bedroom ·  · 1 bath,€ 70 ,Hosted by Stéphanie,2 years hosting,Not guest favourite,Not guest favourite
Apartment Montmartre/Sacré Cœur,"Entire rental unit in Paris, France",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,Price not specified,Hosted by Milena,2 years hosting,Not guest favourite,Not guest favourite
Studio 32 m2 Muette Tour Eiffel Beau neighborhood,"Entire rental unit in Paris, France",1 guest ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 75 ,Hosted by Anne-Caroline, · 8 years hosting,Not guest favourite,Not guest favourite
Design & Cosy in the Heart of the City of Light,"Entire rental unit in Paris, France",3 guests ·  · 1 bedroom ·  · 2 beds ·  · 1 bath,€ 121 ,Hosted by Mayse,1 month hosting,Not guest favourite,Not guest favourite
Quiet and charming 23 m² studio in Belleville,"Entire rental unit in Paris, France",1 guest ·  · Studio ·  · 1 bath,€ 71 ,Hosted by Dali,8 years hosting,4.93,15
Cosy studio with terrace near Paris,"Entire rental unit in Montrouge, France",2 guests ·  · Studio ·  · 1 bed ·  · 0 baths,€ 70 ,Hosted by Yousri, · 5 years hosting,Not guest favourite,Not guest favourite
GuestReady - Cosy lights near Sacré-Coeur,"Entire rental unit in Paris, France",2 guests ·  · Studio ·  · 1 bed ·  · 1 bath,€ 85 ,Hosted by Ricardo,1 year hosting,Not guest favourite,Not guest favourite
Pied-à-terre in Montmartre,"Entire rental unit in Paris, France",2 guests ·  · Studio ·  · 1 bed ·  · 1 bath,€ 90 ,Hosted by Bastien, · 8 months hosting,4.92,13
1 bedroom w/ balcony  Canal StMartin,"Entire rental unit in Paris, France",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 88 ,Hosted by Beril,7 years hosting,Not guest favourite,Not guest favourite
Apartment boulevard Barbes,"Entire rental unit in Paris, France",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 68 ,Hosted by Vivien,9 years hosting,Not guest favourite,Not guest favourite
Modern apartment in a hotel residence,"Entire rental unit in Paris, France",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 96 ,Hosted by Checkmyguest,2 years hosting,Not guest favourite,Not guest favourite
Colonel Fabien Buttes-Chaumont,"Entire rental unit in Paris, France",2 guests ·  · Studio ·  · 1 bed ·  · 1 bath,€ 101 ,Hosted by Jean-Pierre, · 10 years hosting,Not guest favourite,Not guest favourite
My slice of heaven,"Room in Paris, France",1 bedroom ·  · Shared bathroom,€ 49 ,Stay with Fatimata Bintou, · 5 years hosting,Not guest favourite,Not guest favourite
Magnifique Studio Abbesses,"Entire rental unit in Paris, France",2 guests ·  · 1 bedroom ·  · 1 bath,€ 89 ,Hosted by Tatiana,11 years hosting,Not guest favourite,Not guest favourite
