Apartment Name,Short Description,Rooms and Bathrooms,Price per Night,Host Name,Account Active Since,Guest favourite stars,Guest favourite reviews
Apartment Name,Short Description,Rooms and Bathrooms,Price per Night,Host Name,Account Active Since,Guest favourite stars,Guest favourite reviews
BIG ANDBEAUTIFUL ROOM IN TRASTEVERE,"Room in Rome, Italy",1 bedroom ·  · Shared bathroom,€ 80 ,Hosted by Claudia,8 years hosting,Not guest favourite,Not guest favourite
The Best Rent - Apartment in the heart of Rome,"Entire rental unit in Rome, Italy",7 guests ·  · 3 bedrooms ·  · 4 beds ·  · 3 baths,€ 383 ,Hosted by The Best Rent,11 years hosting,Not guest favourite,Not guest favourite
Yoga and sound experience middle,"Room in Rome, Italy",1 double bed ·  · Dedicated bathroom,€ 45 ,Stay with Giorgio, · 1 year hosting,5.0,13
The Orange Apartment,"Entire rental unit in Rome, Italy",6 guests ·  · 3 bedrooms ·  · 4 beds ·  · 2 baths,€ 80 ,Hosted by Izabela,7 years hosting,Not guest favourite,Not guest favourite
MariaRosy's house nice and sunny,"Room in Rome, Italy",2 bedrooms ·  · 2 small double beds ·  · Private attached bathroom,€ 60 ,Stay with Maria,8 years hosting,Not guest favourite,Not guest favourite
Central between History and Culture!,"Entire rental unit in Mentana, Italy",3 guests ·  · 1 bedroom ·  · 2 beds ·  · 1 bath,€ 58 ,Hosted by Rosanna, · 7 months hosting,5.0,6
"CASA ""VILLA LEOPARDI"" G","Room in Rome, Italy",1 double bed ·  · Dedicated bathroom,€ 48 ,Hosted by Eleonora, · 3 years hosting,5.0,10
Writer's Home,"Entire rental unit in Rome, Italy",4 guests ·  · 1 bedroom ·  · 2 beds ·  · 1 bath,€ 228 ,Hosted by Giorgio, · 2 years hosting,5.0,6
Brand New Panoramic Apartment,"Entire rental unit in Rome, Italy",4 guests ·  · 1 bedroom ·  · 2 beds ·  · 1 bath,€ 68 ,Hosted by Marjan,2 months hosting,Not guest favourite,Not guest favourite
Peace of relaxation and adventure,"Entire cabin in Rome, Italy",4 guests ·  · 1 bedroom ·  · 2 beds ·  · 1 bath,€ 97 ,Hosted by Claudia, · 8 years hosting,4.94,17
Parkfront chalet with garden,"Entire cabin in Rome, Italy",4 guests ·  · 1 bedroom ·  · 2 beds ·  · 1 bath,€ 98 ,Hosted by Angela, · 8 months hosting,5.0,12
Flat Vespasiano + Home Cinema +1Min Musei Vaticani,"Entire rental unit in Rome, Italy",4 guests ·  · 1 bedroom ·  · 1 bath,Price not specified,Hosted by Leonardo, · 2 years hosting,5.0,6
Bedroom + bathroom Trastevere Station,"Private room in condo in Rome, Italy",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 90 ,Hosted by Gabriella,11 months hosting,Not guest favourite,Not guest favourite
Nice and quiet apartment near the Olympic stadium,"Entire condo in Rome, Italy",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 108 ,Hosted by Romana, · 3 years hosting,Not guest favourite,Not guest favourite
Kos4_Private room with shared bathroom_only female,"Room in Rome, Italy",1 sofa bed ·  · Shared bathroom,€ 88 ,Stay with Kos House, · 2 years hosting,Not guest favourite,Not guest favourite
Casa Castel: Roma,"Entire condo in Rome, Italy",4 guests ·  · 1 bedroom ·  · 2 beds ·  · 1 bath,€ 80 ,Hosted by Cristina, · 1 year hosting,Not guest favourite,Not guest favourite
Tenuta Conversi 1,"Entire rental unit in Guidonia Montecelio, Italy",3 guests ·  · 1 bedroom ·  · 1 bath,€ 71 ,Hosted by Claudia, · 9 months hosting,Not guest favourite,Not guest favourite
Single room Tranquillity with private balcony,"Room in Rome, Italy",1 single bed ·  · Private attached bathroom,€ 100 ,Stay with Cristiana,10 years hosting,5.0,6
Apartment in Villa.,"Entire home in Marco Simone, Italy",2 guests ·  · Studio ·  · 1 bath,€ 75 ,Hosted by Ilaria,8 months hosting,Not guest favourite,Not guest favourite
1km from the Vatican Museums,"Entire condo in Rome, Italy",4 guests ·  · 1 bedroom ·  · 2 beds ·  · 1 bath,€ 226 ,Hosted by Andrea, · 1 year hosting,Not guest favourite,Not guest favourite
Three-room apartment in Via Oglio in Mentana,"Entire rental unit in Mentana, Italy",4 guests ·  · 2 bedrooms ·  · 3 beds ·  · 1 bath,€ 78 ,Hosted by Sante, · 11 months hosting,5.0,15
Casa Ninetta Marco Simone,"Entire home in Laghetto, Italy",5 guests ·  · 2 bedrooms ·  · 4 beds ·  · 2 baths,€ 124 ,Hosted by Davide,7 months hosting,Not guest favourite,Not guest favourite
