Apartment Name,Short Description,Rooms and Bathrooms,Price per Night,Host Name,Account Active Since,Guest favourite stars,Guest favourite reviews
R2 with beautiful street view,"Room in San Francisco, California, United States",1 bed ·  · Shared half bathroom,€ 49 ,Stay with Jimmy, · 6 months hosting,Not guest favourite,Not guest favourite
"Private, charming, quiet & spacious unit","Entire rental unit in San Francisco, California, United States",3 guests ·  · 1 bedroom ·  · 2 beds ·  · 1 bath,€ 88 ,Hosted by Nada, · 5 years hosting,Not guest favourite,Not guest favourite
"Comfy Single twin beds, near SFO","Room in South San Francisco, California, United States",2 single beds ·  · Shared bathroom,€ 41 ,Hosted by Lina, · 8 years hosting,Not guest favourite,Not guest favourite
5625C - Private Room near GG Bridge & Lands End,"Room in San Francisco, California, United States",1 queen bed ·  · Shared bathroom,€ 60 ,Stay with Guo Jun,2 years hosting,Not guest favourite,Not guest favourite
"La Monarca by Kasa | Studio King, Weekly Stays","Room in boutique hotel in San Francisco, California, United States",2 guests ·  · Studio ·  · 1 bed ·  · 1 private bath,€ 125 ,Hosted by Kasa,8 years hosting,Not guest favourite,Not guest favourite
Nobhill PRIVATE ROOM #3 w/ private en-suite bath,"Room in San Francisco, California, United States",1 queen bed ·  · Shared bathroom,€ 96 ,Hosted by Veronica, · 3 years hosting,Not guest favourite,Not guest favourite
❤️📷CLEAN Spacious Rm nr FOODBART/ShoppingFreway❤️,"Room in Daly City, California, United States",1 queen bed ·  · Shared bathroom,€ 50 ,Hosted by Gi'Angelo, · 5 years hosting,Not guest favourite,Not guest favourite
543c - convenient cozy private bedroom for 1 person,"Room in San Francisco, California, United States",1 double bed ·  · Shared bathroom,€ 48 ,Hosted by Sylvia,2 years hosting,Not guest favourite,Not guest favourite
!P Ground room P w/private bath,"Room in San Francisco, California, United States",1 queen bed ·  · Private attached bathroom,€ 44 ,Stay with Silming, · 5 years hosting,4.87,157
Quiet Marina District Garden Oasis Free Parking,"Room in aparthotel in San Francisco, California, United States",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 130 ,Hosted by Marina Motel, · 3 years hosting,Not guest favourite,Not guest favourite
2621c - Bright cozy private bedroom private bath,"Room in San Francisco, California, United States",1 double bed ·  · Private attached bathroom,€ 73 ,Stay with Tina, · 2 years hosting,Not guest favourite,Not guest favourite
Private Bed/Bath & Private Entrance,"Room in Berkeley, California, United States",1 queen bed ·  · Private attached bathroom,€ 51 ,Stay with Christina, · 10 years hosting,4.94,47
"Castro, Large, Sunny, own dedicated bathroom","Room in San Francisco, California, United States",1 king bed ·  · Dedicated bathroom,€ 102 ,Stay with David, · 11 years hosting,4.88,155
Safe+clean+Parking+3 Bath: Japanese Tatami Room,"Room in San Francisco, California, United States",1 single bed ·  · Shared bathroom,€ 38 ,Hosted by Lulu, · 11 years hosting,Not guest favourite,Not guest favourite
Petfriendly room With Kitchen & Free Parking,"Room in aparthotel in San Francisco, California, United States",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 122 ,Hosted by Marina Motel, · 3 years hosting,Not guest favourite,Not guest favourite
"Spacious Master Bedroom, King Bed, & Private Bath","Room in San Francisco, California, United States",1 king bed ·  · Dedicated bathroom,€ 68 ,Stay with Alek, · 8 years hosting,Not guest favourite,Not guest favourite
Private Master Suite with Japanese Tub Moments From MUNI,"Room in San Francisco, California, United States",1 queen bed ·  · Private attached bathroom,€ 85 ,Hosted by Leon,7 years hosting,Not guest favourite,Not guest favourite
Lower Haight Victorian room,"Room in San Francisco, California, United States",1 queen bed ·  · Shared bathroom,€ 99 ,Stay with Trevor, · 12 years hosting,4.91,412
